Model,MAE,MSE,RMSE,R2
Gradient Boosting,16550.164445990078,731126871.0219505,27039.357814525672,0.9046811242086573
Random Forest,17626.903869863014,880686227.2621498,29676.35805253316,0.8851826893050594
Decision Tree,26522.845890410958,1750419078.2842467,41838.00997041143,0.7717933982202612
Linear Regression,21101.476675698414,4259912688.056543,65268.00661929658,0.4446243128401778
